ThreadID: 400640cd74710000, CarID: 22, Object: N0, time stamp: 1054, AID: 3 finished passing connector.
ThreadID: 4006a0cc74710000, CarID: 23, Object: N0, time stamp: 1064, AID: 3 finished passing connector.
ThreadID: 400600cc74710000, CarID: 24, Object: N0, time stamp: 1074, AID: 3 finished passing connector.
ThreadID: 4006c0ca74710000, CarID: 26, Object: N0, time stamp: 1084, AID: 3 finished passing connector.
ThreadID: 400660cb74710000, CarID: 25, Object: N0, time stamp: 1094, AID: 3 finished passing connector.
ThreadID: 400620ca74710000, CarID: 27, Object: N0, time stamp: 1105, AID: 3 finished passing connector.
ThreadID: 400680c974710000, CarID: 28, Object: N0, time stamp: 1115, AID: 3 finished passing connector.
ThreadID: 4006e0c874710000, CarID: 29, Object: N0, time stamp: 1125, AID: 3 finished passing connector.
ThreadID: 400640c874710000, CarID: 30, Object: N0, time stamp: 1135, AID: 3 finished passing connector.
ThreadID: 4006a0c774710000, CarID: 31, Object: N0, time stamp: 1145, AID: 3 finished passing connector.
